ts,symbol,weight,dw,abs_dw,txn_cost,slippage_cost,cost
2016-01-26,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,SPY,0.0,0.0,0.0,0.0,0.0,0.0
